Region,Entity,Year,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
Oceania,Australia,2000,6.16
Oceania,Australia,2001,5.91
Oceania,Australia,2002,5.89
Oceania,Australia,2003,5.78
Oceania,Australia,2004,5.65
Oceania,Australia,2005,5.52
Oceania,Australia,2006,5.58
Oceania,Australia,2007,5.52
Oceania,Australia,2008,5.53
Oceania,Australia,2009,5.43
Oceania,Australia,2010,5.33
Oceania,Australia,2011,5.23
Oceania,Australia,2012,4.98
Oceania,Australia,2013,4.93
Oceania,Australia,2014,4.78
Oceania,Australia,2015,4.67
Oceania,Australia,2016,4.54
Oceania,Australia,2017,4.49
Oceania,Australia,2018,4.39
Oceania,Australia,2019,4.3
Europe,Austria,2000,3.22
Europe,Austria,2001,3.36
Europe,Austria,2002,3.33
Europe,Austria,2003,3.48
Europe,Austria,2004,3.44
Europe,Austria,2005,3.47
Europe,Austria,2006,3.38
Europe,Austria,2007,3.2
Europe,Austria,2008,3.18
Europe,Austria,2009,3.14
Europe,Austria,2010,3.29
Europe,Austria,2011,3.1
Europe,Austria,2012,3.07
Europe,Austria,2013,3.1
Europe,Austria,2014,2.97
Europe,Austria,2015,3.01
Europe,Austria,2016,2.98
Europe,Austria,2017,2.97
Europe,Austria,2018,2.81
Europe,Austria,2019,2.82
Europe,Belgium,2000,5.51
Europe,Belgium,2001,5.41
Europe,Belgium,2002,5.15
Europe,Belgium,2003,5.32
Europe,Belgium,2004,5.15
Europe,Belgium,2005,5.01
Europe,Belgium,2006,4.82
Europe,Belgium,2007,4.56
Europe,Belgium,2008,4.68
Europe,Belgium,2009,4.58
Europe,Belgium,2010,4.81
Europe,Belgium,2011,4.4
Europe,Belgium,2012,4.19
Europe,Belgium,2013,4.34
Europe,Belgium,2014,4.03
Europe,Belgium,2015,3.94
Europe,Belgium,2016,4.12
Europe,Belgium,2017,4.04
Europe,Belgium,2018,3.82
Europe,Belgium,2019,3.87
North America,Bermuda,2000,1.52
North America,Bermuda,2001,1.45
North America,Bermuda,2002,1.54
North America,Bermuda,2003,1.5
North America,Bermuda,2004,1.51
North America,Bermuda,2005,1.48
North America,Bermuda,2006,1.56
North America,Bermuda,2007,1.67
North America,Bermuda,2008,1.51
North America,Bermuda,2009,1.21
North America,Bermuda,2010,1.54
North America,Bermuda,2011,1.2
North America,Bermuda,2012,1.08
North America,Bermuda,2013,1.52
North America,Bermuda,2014,1.95
North America,Bermuda,2015,1.59
North America,Bermuda,2016,1.83
North America,Bermuda,2017,1.77
North America,Bermuda,2018,1.97
North America,Bermuda,2019,1.65
North America,Canada,2000,9.31
North America,Canada,2001,9.04
North America,Canada,2002,8.77
North America,Canada,2003,8.89
North America,Canada,2004,8.77
North America,Canada,2005,8.46
North America,Canada,2006,8.25
North America,Canada,2007,7.71
North America,Canada,2008,7.44
North America,Canada,2009,7.37
North America,Canada,2010,7.16
North America,Canada,2011,7.09
North America,Canada,2012,7.03
North America,Canada,2013,7.01
North America,Canada,2014,6.99
North America,Canada,2015,6.91
North America,Canada,2016,7.1
North America,Canada,2017,7.17
North America,Canada,2018,7.1
North America,Canada,2019,6.94
North America,Cayman Islands,2000,1.91
North America,Cayman Islands,2001,1.91
North America,Cayman Islands,2002,1.96
North America,Cayman Islands,2003,1.93
North America,Cayman Islands,2004,1.8
North America,Cayman Islands,2005,1.75
North America,Cayman Islands,2006,1.69
North America,Cayman Islands,2007,1.97
North America,Cayman Islands,2008,2.01
North America,Cayman Islands,2009,2.05
North America,Cayman Islands,2010,2.11
North America,Cayman Islands,2011,2.2
North America,Cayman Islands,2012,2
North America,Cayman Islands,2013,1.95
North America,Cayman Islands,2014,1.94
North America,Cayman Islands,2015,1.93
North America,Cayman Islands,2016,1.84
North America,Cayman Islands,2017,1.87
North America,Cayman Islands,2018,1.9
North America,Cayman Islands,2019,2.06
Europe,Denmark,2000,2.99
Europe,Denmark,2001,3.06
Europe,Denmark,2002,3.01
Europe,Denmark,2003,3.17
Europe,Denmark,2004,2.99
Europe,Denmark,2005,2.83
Europe,Denmark,2006,2.93
Europe,Denmark,2007,2.83
Europe,Denmark,2008,2.78
Europe,Denmark,2009,2.78
Europe,Denmark,2010,2.89
Europe,Denmark,2011,2.64
Europe,Denmark,2012,2.53
Europe,Denmark,2013,2.5
Europe,Denmark,2014,2.32
Europe,Denmark,2015,2.27
Europe,Denmark,2016,2.25
Europe,Denmark,2017,2.19
Europe,Denmark,2018,2.14
Europe,Denmark,2019,2
Europe,Finland,2000,6.57
Europe,Finland,2001,6.57
Europe,Finland,2002,6.79
Europe,Finland,2003,7.02
Europe,Finland,2004,6.83
Europe,Finland,2005,6.13
Europe,Finland,2006,6.41
Europe,Finland,2007,6
Europe,Finland,2008,5.71
Europe,Finland,2009,5.86
Europe,Finland,2010,6.22
Europe,Finland,2011,5.83
Europe,Finland,2012,5.71
Europe,Finland,2013,5.67
Europe,Finland,2014,5.81
Europe,Finland,2015,5.5
Europe,Finland,2016,5.55
Europe,Finland,2017,5.34
Europe,Finland,2018,5.37
Europe,Finland,2019,5.19
Europe,Germany,2000,4
Europe,Germany,2001,4.05
